,pokemon_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
473,396,Starly,Staralili,ãƒ ãƒƒã‚¯ãƒ« (Mukkuru),4,Normal,Starling PokÃ©mon,2,Normal,Flying,0.3,2,2,Keen Eye,,Reckless,245,40,55,30,30,30,60,255,70,49,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
474,397,Staravia,Staravia,ãƒ ã‚¯ãƒãƒ¼ãƒ‰ (Mukubird),4,Normal,Starling PokÃ©mon,2,Normal,Flying,0.6,15.5,2,Intimidate,,Reckless,340,55,75,50,40,40,80,120,70,119,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
475,398,Staraptor,Staraptor,ãƒ ã‚¯ãƒ›ãƒ¼ã‚¯ (Mukuhawk),4,Normal,Predator PokÃ©mon,2,Normal,Flying,1.2,24.9,2,Intimidate,,Reckless,485,85,120,70,50,60,100,45,70,218,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
476,399,Bidoof,Bidiza,ãƒ“ãƒƒãƒ‘ (Bippa),4,Normal,Plump Mouse PokÃ©mon,1,Normal,,0.5,20,3,Simple,Unaware,Moody,250,59,45,40,35,40,31,255,70,50,Medium Fast,2,Field,Water 1,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
477,400,Bibarel,Bidifas,ãƒ“ãƒ¼ãƒ€ãƒ« (Beadaru),4,Normal,Beaver PokÃ©mon,2,Normal,Water,1,31.5,3,Simple,Unaware,Moody,410,79,85,60,55,60,71,127,70,144,Medium Fast,2,Field,Water 1,50,15,1,0.5,0.5,2,2,0.5,2,1,1,1,1,1,1,0,1,1,0.5,1
478,401,Kricketot,Zirpurze,ã‚³ãƒ­ãƒœãƒ¼ã‚· (Korobohshi),4,Normal,Cricket PokÃ©mon,1,Bug,,0.3,2.2,2,Shed Skin,,Run Away,194,37,25,41,25,41,25,255,70,39,Medium Slow,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
479,402,Kricketune,Zirpeise,ã‚³ãƒ­ãƒˆãƒƒã‚¯ (Korotock),4,Normal,Cricket PokÃ©mon,1,Bug,,1,25.5,2,Swarm,,Technician,384,77,85,51,55,51,65,45,70,134,Medium Slow,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
480,403,Shinx,Sheinux,ã‚³ãƒªãƒ³ã‚¯ (Kolink),4,Normal,Flash PokÃ©mon,1,Electric,,0.5,9.5,3,Rivalry,Intimidate,Guts,263,45,65,34,40,34,45,235,70,53,Medium Slow,1,Field,,50,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
481,404,Luxio,Luxio,ãƒ«ã‚¯ã‚·ã‚ª (Luxio),4,Normal,Spark PokÃ©mon,1,Electric,,0.9,30.5,3,Rivalry,Intimidate,Guts,363,60,85,49,60,49,60,120,100,127,Medium Slow,1,Field,,50,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
482,405,Luxray,Luxtra,ãƒ¬ãƒ³ãƒˆãƒ©ãƒ¼ (Rentorar),4,Normal,Gleam Eyes PokÃ©mon,1,Electric,,1.4,42,3,Rivalry,Intimidate,Guts,523,80,120,79,95,79,70,45,70,235,Medium Slow,1,Field,,50,20,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
483,406,Budew,Knospi,ã‚¹ãƒœãƒŸãƒ¼ (Subomie),4,Normal,Bud PokÃ©mon,2,Grass,Poison,0.2,1.2,3,Natural Cure,Poison Point,Leaf Guard,280,40,30,35,50,70,55,255,70,56,Medium Slow,1,Undiscovered,,50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
484,407,Roserade,Roserade,ãƒ­ã‚ºãƒ¬ã‚¤ãƒ‰ (Roserade),4,Normal,Bouquet PokÃ©mon,2,Grass,Poison,0.9,14.5,3,Natural Cure,Poison Point,Technician,515,60,70,65,125,105,90,75,70,232,Medium Slow,2,Fairy,Grass,50,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
485,408,Cranidos,Koknodon,ã‚ºã‚¬ã‚¤ãƒ‰ã‚¹ (Zugaidos),4,Normal,Head Butt PokÃ©mon,1,Rock,,0.9,31.5,2,Mold Breaker,,Sheer Force,350,67,125,40,30,30,58,45,70,70,Erratic,1,Monster,,87.5,30,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
486,409,Rampardos,Rameidon,ãƒ©ãƒ ãƒ‘ãƒ«ãƒ‰ (Rampald),4,Normal,Head Butt PokÃ©mon,1,Rock,,1.6,102.5,2,Mold Breaker,,Sheer Force,495,97,165,60,65,50,58,45,70,173,Erratic,1,Monster,,87.5,30,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
487,410,Shieldon,Schilterus,ã‚¿ãƒ†ãƒˆãƒ—ã‚¹ (Tatetops),4,Normal,Shield PokÃ©mon,2,Rock,Steel,0.5,57,2,Sturdy,,Soundproof,350,30,42,118,42,88,30,45,70,70,Erratic,1,Monster,,87.5,30,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
488,411,Bastiodon,Bollterus,ãƒˆãƒªãƒ‡ãƒ—ã‚¹ (Torideps),4,Normal,Shield PokÃ©mon,2,Rock,Steel,1.3,149.5,2,Sturdy,,Soundproof,495,60,52,168,47,138,30,45,70,173,Erratic,1,Monster,,87.5,30,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
489,412,Burmy,Burmy,ãƒŸãƒŽãƒ ãƒƒãƒ (Minomucchi),4,Normal,Bagworm PokÃ©mon,1,Bug,,0.2,3.4,2,Shed Skin,,Overcoat,224,40,29,45,29,45,36,120,70,45,Medium Fast,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
490,413,Wormadam Plant Cloak,Burmadame,ãƒŸãƒŽãƒžãƒ€ãƒ  (Minomadam),4,Normal,Bagworm PokÃ©mon,2,Bug,Grass,0.5,6.5,2,Anticipation,,Overcoat,424,60,59,85,79,105,36,45,70,148,Medium Fast,1,Bug,,0,15,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
491,413,Wormadam Sandy Cloak,Burmadame,ãƒŸãƒŽãƒžãƒ€ãƒ  (Minomadam),4,Normal,Bagworm PokÃ©mon,2,Bug,Ground,0.5,6.5,2,Anticipation,,Overcoat,424,60,79,105,59,85,36,45,70,148,Medium Fast,1,Bug,,0,15,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1
492,413,Wormadam Trash Cloak,Burmadame,ãƒŸãƒŽãƒžãƒ€ãƒ  (Minomadam),4,Normal,Bagworm PokÃ©mon,2,Bug,Steel,0.5,6.5,2,Anticipation,,Overcoat,424,60,69,95,69,95,36,45,70,148,Medium Fast,1,Bug,,0,15,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5
493,414,Mothim,Moterpel,ã‚¬ãƒ¼ãƒ¡ã‚¤ãƒ« (Gamale),4,Normal,Moth PokÃ©mon,2,Bug,Flying,0.9,23.3,2,Swarm,,Tinted Lens,424,70,94,50,94,50,66,45,70,148,Medium Fast,1,Bug,,100,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
494,415,Combee,Wadribie,ãƒŸãƒ„ãƒãƒ‹ãƒ¼ (Mitsuhoney),4,Normal,Tiny Bee PokÃ©mon,2,Bug,Flying,0.3,5.5,2,Honey Gather,,Hustle,244,30,30,42,30,42,70,120,70,49,Medium Slow,1,Bug,,87.5,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
495,416,Vespiquen,Honweisel,ãƒ“ãƒ¼ã‚¯ã‚¤ãƒ³ (Beequen),4,Normal,Beehive PokÃ©mon,2,Bug,Flying,1.2,38.5,2,Pressure,,Unnerve,474,70,80,102,80,102,40,45,70,166,Medium Slow,1,Bug,,0,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
496,417,Pachirisu,Pachirisu,ãƒ‘ãƒãƒªã‚¹ (Pachirisu),4,Normal,EleSquirrel PokÃ©mon,1,Electric,,0.4,3.9,3,Run Away,Pickup,Volt Absorb,405,60,45,70,45,90,95,200,100,142,Medium Fast,2,Fairy,Field,50,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
497,418,Buizel,Bamelin,ãƒ–ã‚¤ã‚¼ãƒ« (Buoysel),4,Normal,Sea Weasel PokÃ©mon,1,Water,,0.7,29.5,2,Swift Swim,,Water Veil,330,55,65,35,60,30,85,190,70,66,Medium Fast,2,Field,Water 1,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
498,419,Floatzel,Bojelin,ãƒ•ãƒ­ãƒ¼ã‚¼ãƒ« (Floazel),4,Normal,Sea Weasel PokÃ©mon,1,Water,,1.1,33.5,2,Swift Swim,,Water Veil,495,85,105,55,85,50,115,75,70,173,Medium Fast,2,Field,Water 1,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
499,420,Cherubi,Kikugi,ãƒã‚§ãƒªãƒ³ãƒœ (Cherinbo),4,Normal,Cherry PokÃ©mon,1,Grass,,0.4,3.3,1,Chlorophyll,,,275,45,35,45,62,53,35,190,70,55,Medium Fast,2,Fairy,Grass,50,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
500,421,Cherrim,Kinoso,ãƒã‚§ãƒªãƒ  (Cherrim),4,Normal,Blossom PokÃ©mon,1,Grass,,0.5,9.3,1,Flower Gift,,,450,70,60,70,87,78,85,75,70,158,Medium Fast,2,Fairy,Grass,50,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
501,422,Shellos,Schalellos,ã‚«ãƒ©ãƒŠã‚¯ã‚· (Karanakushi),4,Normal,Sea Slug PokÃ©mon,1,Water,,0.3,6.3,3,Sticky Hold,Storm Drain,Sand Force,325,76,48,48,57,62,34,190,70,65,Medium Fast,2,Amorphous,Water 1,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
502,423,Gastrodon,Gastrodon,ãƒˆãƒªãƒˆãƒ‰ãƒ³ (Tritodon),4,Normal,Sea Slug PokÃ©mon,2,Water,Ground,0.9,29.9,3,Sticky Hold,Storm Drain,Sand Force,475,111,83,68,92,82,39,75,70,166,Medium Fast,2,Amorphous,Water 1,50,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
503,424,Ambipom,Ambidiffel,ã‚¨ãƒ†ãƒœãƒ¼ã‚¹ (Eteboth),4,Normal,Long Tail PokÃ©mon,1,Normal,,1.2,20.3,3,Technician,Pickup,Skill Link,482,75,100,66,60,66,115,45,100,169,Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
504,425,Drifloon,Driftlon,ãƒ•ãƒ¯ãƒ³ãƒ† (Fuwante),4,Normal,Balloon PokÃ©mon,2,Ghost,Flying,0.4,1.2,3,Aftermath,Unburden,Flare Boost,348,90,50,34,60,44,70,125,70,70,Fluctuating,1,Amorphous,,50,30,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,1
505,426,Drifblim,Drifzepeli,ãƒ•ãƒ¯ãƒ©ã‚¤ãƒ‰ (Fuwaride),4,Normal,Blimp PokÃ©mon,2,Ghost,Flying,1.2,15,3,Aftermath,Unburden,Flare Boost,498,150,80,44,90,54,80,60,70,174,Fluctuating,1,Amorphous,,50,30,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,1
506,427,Buneary,Haspiror,ãƒŸãƒŸãƒ­ãƒ« (Mimirol),4,Normal,Rabbit PokÃ©mon,1,Normal,,0.4,5.5,3,Run Away,Klutz,Limber,350,55,66,44,44,56,85,190,0,70,Medium Fast,2,Field,Human-Like,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
507,428,Lopunny,Schlapor,ãƒŸãƒŸãƒ­ãƒƒãƒ— (Mimilop),4,Normal,Rabbit PokÃ©mon,1,Normal,,1.2,33.3,3,Cute Charm,Klutz,Limber,480,65,76,84,54,96,105,60,140,168,Medium Fast,2,Field,Human-Like,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
508,428,Mega Lopunny,Schlapor,ãƒŸãƒŸãƒ­ãƒƒãƒ— (Mimilop),4,Normal,Rabbit PokÃ©mon,2,Normal,Fighting,1.3,28.3,1,Scrappy,,,580,65,136,94,54,96,135,60,140,203,Medium Fast,2,Field,Human-Like,50,20,1,1,1,1,1,1,2,1,1,2,2,0.5,0.5,0,1,0.5,1,2
509,429,Mismagius,Traunmagil,ãƒ ã‚¦ãƒžãƒ¼ã‚¸ (Mumargi),4,Normal,Magical PokÃ©mon,1,Ghost,,0.9,4.4,1,Levitate,,,495,60,60,60,105,105,105,45,35,173,Fast,1,Amorphous,,50,25,0,1,1,1,1,1,0,0.5,0,1,1,0.5,1,2,1,2,1,1
510,430,Honchkrow,Kramshef,ãƒ‰ãƒ³ã‚«ãƒ©ã‚¹ (Dongkarasu),4,Normal,Big Boss PokÃ©mon,2,Dark,Flying,0.9,27.3,3,Insomnia,Super Luck,Moxie,505,100,125,52,105,52,71,30,35,177,Medium Slow,1,Flying,,50,20,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2
511,431,Glameow,Charmian,ãƒ‹ãƒ£ãƒ«ãƒžãƒ¼ (Nyarmar),4,Normal,Catty PokÃ©mon,1,Normal,,0.5,3.9,3,Limber,Own Tempo,Keen Eye,310,49,55,42,42,37,85,190,70,62,Fast,1,Field,,25,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
512,432,Purugly,Shnurgarst,ãƒ–ãƒ‹ãƒ£ãƒƒãƒˆ (Bunyatto),4,Normal,Tiger Cat PokÃ©mon,1,Normal,,1,43.8,3,Thick Fat,Own Tempo,Defiant,452,71,82,64,64,59,112,75,70,158,Fast,1,Field,,25,20,1,0.5,1,1,1,0.5,2,1,1,1,1,1,1,0,1,1,1,1
513,433,Chingling,Klingplim,ãƒªãƒ¼ã‚·ãƒ£ãƒ³ (Lisyan),4,Normal,Bell PokÃ©mon,1,Psychic,,0.2,0.6,1,Levitate,,,285,45,30,50,65,50,45,120,70,57,Fast,1,Undiscovered,,50,25,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
514,434,Stunky,Skunkapuh,ã‚¹ã‚«ãƒ³ãƒ—ãƒ¼ (Skunpuu),4,Normal,Skunk PokÃ©mon,2,Poison,Dark,0.4,19.2,3,Stench,Aftermath,Keen Eye,329,63,63,47,41,41,74,225,70,66,Medium Fast,1,Field,,50,20,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
515,435,Skuntank,Skuntank,ã‚¹ã‚«ã‚¿ãƒ³ã‚¯ (Skutank),4,Normal,Skunk PokÃ©mon,2,Poison,Dark,1,38,3,Stench,Aftermath,Keen Eye,479,103,93,67,71,61,84,60,70,168,Medium Fast,1,Field,,50,20,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
516,436,Bronzor,Bronzel,ãƒ‰ãƒ¼ãƒŸãƒ©ãƒ¼ (Dohmirror),4,Normal,Bronze PokÃ©mon,2,Steel,Psychic,0.5,60.5,3,Levitate,Heatproof,Heavy Metal,300,57,24,86,24,86,23,255,70,60,Medium Fast,1,Mineral,,,20,0.5,2,1,1,0.5,0.5,1,0,0,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
517,437,Bronzong,Bronzong,ãƒ‰ãƒ¼ã‚¿ã‚¯ãƒ³ (Dohtakun),4,Normal,Bronze Bell PokÃ©mon,2,Steel,Psychic,1.3,187,3,Levitate,Heatproof,Heavy Metal,500,67,89,116,79,116,33,90,70,175,Medium Fast,1,Mineral,,,20,0.5,2,1,1,0.5,0.5,1,0,0,0.5,0.25,1,0.5,2,0.5,2,0.5,0.5
518,438,Bonsly,Mobai,ã‚¦ã‚½ãƒãƒ (Usohachi),4,Normal,Bonsai PokÃ©mon,1,Rock,,0.5,15,3,Sturdy,Rock Head,Rattled,290,50,80,95,10,45,10,255,70,58,Medium Fast,1,Undiscovered,,50,20,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
519,439,Mime Jr.,Pantimimi,ãƒžãƒãƒ (Manene),4,Normal,Mime PokÃ©mon,2,Psychic,Fairy,0.6,13,3,Soundproof,Filter,Technician,310,20,25,45,70,90,60,145,70,62,Medium Fast,1,Undiscovered,,50,25,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
520,440,Happiny,Wonneira,ãƒ”ãƒ³ãƒ—ã‚¯ (Pinpuku),4,Normal,Playhouse PokÃ©mon,1,Normal,,0.6,24.4,3,Natural Cure,Serene Grace,Friend Guard,220,100,5,5,15,65,30,130,140,110,Fast,1,Undiscovered,,0,40,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
521,441,Chatot,Plaudagei,ãƒšãƒ©ãƒƒãƒ— (Perap),4,Normal,Music Note PokÃ©mon,2,Normal,Flying,0.5,1.9,3,Keen Eye,Tangled Feet,Big Pecks,411,76,65,45,92,42,91,30,35,144,Medium Slow,1,Flying,,50,20,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
522,442,Spiritomb,Kryppuk,ãƒŸã‚«ãƒ«ã‚² (Mikaruge),4,Normal,Forbidden PokÃ©mon,2,Ghost,Dark,1,108,2,Pressure,,Infiltrator,485,50,92,108,92,108,35,100,70,170,Medium Fast,1,Amorphous,,50,30,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
523,443,Gible,Kaumalat,ãƒ•ã‚«ãƒžãƒ« (Fukamaru),4,Normal,Land Shark PokÃ©mon,2,Dragon,Ground,0.7,20.5,2,Sand Veil,,Rough Skin,300,58,70,45,40,45,42,45,70,60,Slow,2,Dragon,Monster,50,40,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
524,444,Gabite,Knarksel,ã‚¬ãƒã‚¤ãƒˆ (Gabite),4,Normal,Cave PokÃ©mon,2,Dragon,Ground,1.4,56,2,Sand Veil,,Rough Skin,410,68,90,65,50,55,82,45,70,144,Slow,2,Dragon,Monster,50,40,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
525,445,Garchomp,Knakrack,ã‚¬ãƒ–ãƒªã‚¢ã‚¹ (Gaburias),4,Normal,Mach PokÃ©mon,2,Dragon,Ground,1.9,95,2,Sand Veil,,Rough Skin,600,108,130,95,80,85,102,45,70,270,Slow,2,Dragon,Monster,50,40,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
526,445,Mega Garchomp,Knakrack,ã‚¬ãƒ–ãƒªã‚¢ã‚¹ (Gaburias),4,Normal,Mach PokÃ©mon,2,Dragon,Ground,1.9,95,1,Sand Force,,,700,108,170,115,120,95,92,45,70,315,Slow,2,Dragon,Monster,50,40,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
527,446,Munchlax,Mampfaxo,ã‚´ãƒ³ãƒ™ (Gonbe),4,Normal,Big Eater PokÃ©mon,1,Normal,,0.6,105,3,Pickup,Thick Fat,Gluttony,390,135,85,40,40,85,5,50,70,78,Slow,1,Undiscovered,,87.5,40,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
528,447,Riolu,Riolu,ãƒªã‚ªãƒ« (Riolu),4,Normal,Emanation PokÃ©mon,1,Fighting,,0.7,20.2,3,Steadfast,Inner Focus,Prankster,285,40,70,40,35,40,60,75,70,57,Medium Slow,1,Undiscovered,,87.5,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
529,448,Lucario,Lucario,ãƒ«ã‚«ãƒªã‚ª (Lucario),4,Normal,Aura PokÃ©mon,2,Fighting,Steel,1.2,54,3,Steadfast,Inner Focus,Justified,525,70,110,70,115,70,90,45,70,184,Medium Slow,2,Field,Human-Like,87.5,25,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1
530,448,Mega Lucario,Lucario,ãƒ«ã‚«ãƒªã‚ª (Lucario),4,Normal,Aura PokÃ©mon,2,Fighting,Steel,1.3,57.5,1,Adaptability,,,625,70,145,88,140,70,112,45,70,219,Medium Slow,2,Field,Human-Like,87.5,25,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1
531,449,Hippopotas,Hippopotas,ãƒ’ãƒãƒã‚¿ã‚¹ (Hippopotas),4,Normal,Hippo PokÃ©mon,1,Ground,,0.8,49.5,2,Sand Stream,,Sand Force,330,68,72,78,38,42,32,140,70,66,Slow,1,Field,,50,30,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
532,450,Hippowdon,Hippoterus,ã‚«ãƒãƒ«ãƒ‰ãƒ³ (Kabaldon),4,Normal,Heavyweight PokÃ©mon,1,Ground,,2,300,2,Sand Stream,,Sand Force,525,108,112,118,68,72,47,60,70,184,Slow,1,Field,,50,30,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
533,451,Skorupi,Pionskora,ã‚¹ã‚³ãƒ«ãƒ” (Scorupi),4,Normal,Scorpion PokÃ©mon,2,Poison,Bug,0.8,12,3,Battle Armor,Sniper,Keen Eye,330,40,50,90,30,55,65,120,70,66,Slow,2,Bug,Water 3,50,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
534,452,Drapion,Piondragi,ãƒ‰ãƒ©ãƒ”ã‚ªãƒ³ (Dorapion),4,Normal,Ogre Scorp PokÃ©mon,2,Poison,Dark,1.3,61.5,3,Battle Armor,Sniper,Keen Eye,500,70,90,110,60,75,95,45,70,175,Slow,2,Bug,Water 3,50,20,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
535,453,Croagunk,Glibunkel,ã‚°ãƒ¬ãƒƒã‚°ãƒ« (Gureggru),4,Normal,Toxic Mouth PokÃ©mon,2,Poison,Fighting,0.7,23,3,Anticipation,Dry Skin,Poison Touch,300,48,61,40,61,40,50,140,100,60,Medium Fast,1,Human-Like,,50,10,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1
536,454,Toxicroak,Toxiquak,ãƒ‰ã‚¯ãƒ­ãƒƒã‚° (Dokurog),4,Normal,Toxic Mouth PokÃ©mon,2,Poison,Fighting,1.3,44.4,3,Anticipation,Dry Skin,Poison Touch,490,83,106,65,86,65,85,75,70,172,Medium Fast,1,Human-Like,,50,20,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1
537,455,Carnivine,Venuflibis,ãƒžã‚¹ã‚­ãƒƒãƒ‘ (Muskippa),4,Normal,Bug Catcher PokÃ©mon,1,Grass,,1.4,27,1,Levitate,,,454,74,100,72,90,72,46,200,70,159,Slow,1,Grass,,50,25,1,2,0.5,0.5,0.5,2,1,2,0,2,1,2,1,1,1,1,1,1
538,456,Finneon,Finneon,ã‚±ã‚¤ã‚³ã‚¦ã‚ª (Keikouo),4,Normal,Wing Fish PokÃ©mon,1,Water,,0.4,7,3,Swift Swim,Storm Drain,Water Veil,330,49,49,56,49,61,66,190,70,66,Erratic,1,Water 2,,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
539,457,Lumineon,Lumineon,ãƒã‚ªãƒ©ãƒ³ãƒˆ (Neolant),4,Normal,Neon PokÃ©mon,1,Water,,1.2,24,3,Swift Swim,Storm Drain,Water Veil,460,69,69,76,69,86,91,75,70,161,Erratic,1,Water 2,,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
540,458,Mantyke,Mantirps,ã‚¿ãƒžãƒ³ã‚¿ (Tamanta),4,Normal,Kite PokÃ©mon,2,Water,Flying,1,65,3,Swift Swim,Water Absorb,Water Veil,345,45,20,50,60,120,50,25,70,69,Slow,1,Undiscovered,,50,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
541,459,Snover,Shnebedeck,ãƒ¦ã‚­ã‚«ãƒ–ãƒª (Yukikaburi),4,Normal,Frost Tree PokÃ©mon,2,Grass,Ice,1,50.5,2,Snow Warning,,Soundproof,334,60,62,50,62,60,40,120,70,67,Slow,2,Grass,Monster,50,20,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
542,460,Abomasnow,Rexblisar,ãƒ¦ã‚­ãƒŽã‚ªãƒ¼ (Yukinooh),4,Normal,Frost Tree PokÃ©mon,2,Grass,Ice,2.2,135.5,2,Snow Warning,,Soundproof,494,90,92,75,92,85,60,60,70,173,Slow,2,Grass,Monster,50,20,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
543,460,Mega Abomasnow,Rexblisar,ãƒ¦ã‚­ãƒŽã‚ªãƒ¼ (Yukinooh),4,Normal,Frost Tree PokÃ©mon,2,Grass,Ice,2.7,185,1,Snow Warning,,,594,90,132,105,132,105,30,60,70,208,Slow,2,Grass,Monster,50,20,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
544,461,Weavile,Snibunna,ãƒžãƒ‹ãƒ¥ãƒ¼ãƒ© (Manyula),4,Normal,Sharp Claw PokÃ©mon,2,Dark,Ice,1.1,34,2,Pressure,,Pickpocket,510,70,120,65,45,85,125,45,35,179,Medium Slow,1,Field,,50,20,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
545,462,Magnezone,Magnezone,ã‚¸ãƒã‚³ã‚¤ãƒ« (Jibacoil),4,Normal,Magnet Area PokÃ©mon,2,Electric,Steel,1.2,180,3,Magnet Pull,Sturdy,Analytic,535,70,70,115,130,90,60,30,70,241,Medium Fast,1,Mineral,,,20,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
546,463,Lickilicky,Schlurplek,ãƒ™ãƒ­ãƒ™ãƒ«ãƒˆ (Berobelt),4,Normal,Licking PokÃ©mon,1,Normal,,1.7,140,3,Own Tempo,Oblivious,Cloud Nine,515,110,85,95,80,95,50,30,70,180,Medium Fast,1,Monster,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
